我倾向从何处得到力量? 别人E 我自己的想法I
当我参加一个社交聚会时，我倾向有更多的力气： 在夜色很深时，一旦我开始投入，也许就是最晚离开的那一个E 在夜晚开始的时候，我就疲倦了并且想回家I
下列哪一种听起来比较吸引人？ 与我的情人到有很多人且社交活动频繁的地方E 待在家中与我的情人做一些特别的事情，例如说观赏一部有趣的录像带并享用我最爱的外带食物I
在约会中，我通常： 整体来说蛮健谈的E 较安静并保留，直到我觉得舒服I
过去，我倾向遇见我大部分情人： 在宴会中、夜总会、工作上、休闲活动中、会议上、或当朋友介绍我给他们的朋友时E 透过私人的方式，例如个人广告、录像约会、或是由亲密的朋友和家人介绍I
我倾向拥有： 很多认识的人和很亲密的朋友E 一些很亲密的朋友和一些认识的人I
过去，我爱的人和情人倾向对我说这些： 你难道不可以安静一点吗？E 可以请你从你的世界中出来一下吗？I
我倾向透过以下方式收集信息： 我对有可能发生之事的想象和期望N 我对目前状况实际认知S
我倾向相信： 我的直觉N 我直接的观察和现成的经验S
当我置身于一段关系中时，我倾向相信： 永远有进步的空间N 若它没有被破坏，别修补它S
当我对一个约会觉得放心时，我倾向谈论： 未来，关于改进或发明事物，和生活的种种可能性N 实际的，具体的，关于「此时此地」的事物S
我是这种人： 喜欢先看整个大局面N 喜欢先拿握细节S
我是这种型的人： 与其活在现实中，我选择活在我的想象里N 与其活在我的想象里，我选择活在现实中S
我倾向如此做决定： 首先依我的心意，然依我的逻辑F 首先依我的逻辑，然后依我的心意T
我倾向比较能够察觉到： 当人们需要情感上的支持时F 当人们不合逻辑时T
当和某人分手时: 我通常让自己的情绪深陷其中，很难才能抽身而出F 虽然我觉得受伤，但一旦下定决心，我会直截了当地将过去恋人的影子甩开T
当与一个人交往时，我倾向评量： 情感上的兼容性，表达爱意和对另一半的需求很敏感F 智能上的兼容性，沟通重要的想法，客观地讨论和辩论事情T
当我不同意我情人的想法时： 我尽可能地避免伤害对方的感受F 我通常毫无保留地说话，并且对我的情人直言直语，因为对的就是对的T
认识我的人倾向形容我为： 热情和敏感F 逻辑和明确T
我把大部分和别人的相遇视为： 友善及重要的F 另有目的T
