#哪一个答案最能贴切的描绘你一般的感受或行为？
当你要外出一整天，你会 计划你要做什么和在什么时候做 说去就去
你认为自己是一个 较为随兴所至的人 较为有条理的人
假如你是一位老师，你会选教 以事实为主的课程 涉及理论的课程
你通常 与人容易混熟 比较沉静或矜持
一般来说，你和哪些人比较合得来 富于想象力的人 现实的人
你是否经常让 你的情感支配你的理智 你的理智主宰你的情感
处理许多事情上，你会喜欢 凭兴所至行事 按照计划行事
你是否 容易让人了解 难于让人了解
按照程序表做事 合你心意 令你感到束缚
当你有一份特别的任务，你会喜欢 开始前小心组织计划 边做边找须做什么
在大多数情况下，你会选择 顺其自然 按程序表做事
大多数人会说你是一个 重视自我隐私的人 非常坦率开放的人
你宁愿被人认为是一个 实事求是的人 机灵的人
在一大群人当中，通常是 你介绍大家认识 别人介绍你
你会跟哪些人做朋友 常提出新注意的 脚踏实地的
你倾向 重视感情多于逻辑 重视逻辑多于感情
你比较喜欢 坐观事情发展才作计划 很早就作计划
你喜欢花很多的时间 一个人独处 和别人在一起
与很多人一起会 令你活力培增 常常令你心力憔悴
你比较喜欢 很早便把约会、社交聚集等事情安排妥当 无拘无束，看当时有什么好玩就做什么
计划一个旅程时，你较喜欢 大部分的时间都是跟当天的感觉行事 事先知道大部分的日子会做什么
在社交聚会中，你 有时感到郁闷 常常乐在其中
你通常 和别人容易混熟 趋向自处一隅
哪些人会更吸引你 一个思想敏捷及非常聪颖的人 实事求是，具丰富常识的人
在日常工作中，你会 颇为喜欢处理迫使你分秒必争的突发 通常预先计划，以免要在压力下工作
你认为别人一般 要花很长时间才认识你 用很短的时间便认识你

